run_id,group_dropout_p,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,mask_none,mask_visible,mask_red_edge_nir,mask_atmospheric,mask_swir
MS_SPATIAL_DROP_BASELINE,0.0,1,0.4838147852542224,0.8554320987654321,0.17686949301097127,0.9442592592592592,0.9175529988603779,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,2,0.10563126878513966,0.9668518518518519,0.1667373208708509,0.9427777777777778,0.9130455136891615,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,3,0.052030183634962195,0.9832098765432099,0.13289485868514964,0.9588888888888889,0.9387348709670127,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,4,0.045515323715905345,0.9857407407407407,0.1451711474044714,0.9553703703703704,0.9298098965220655,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,5,0.029275934921554576,0.9907407407407407,0.38462561960504565,0.8368518518518518,0.8581801360552126,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,6,0.02849378124885491,0.9912345679012345,0.27905503261696407,0.8964814814814814,0.8849731439786126,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,7,0.021752909586224476,0.9937037037037038,0.16438730079775538,0.9512962962962963,0.9278791423086601,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,8,0.018169943994647008,0.9943827160493827,0.2103749432832356,0.937037037037037,0.9019126314188652,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,9,0.014856089397827968,0.9949382716049383,0.1767960810527654,0.9538888888888889,0.932224517109075,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,10,0.019936353977508037,0.9939506172839506,0.1730181755892139,0.9518518518518518,0.9249249884855253,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,11,0.01790753796468144,0.9942592592592593,0.17269231559169754,0.9551851851851851,0.9304910778870976,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,12,0.016187728108596748,0.9954320987654321,0.8555591144599451,0.8481481481481481,0.8620201910797608,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,13,0.013902010180589307,0.9954320987654321,0.4193104142255928,0.8314814814814815,0.8502250880353511,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,14,0.01351190690463912,0.9958024691358025,0.1657358699113549,0.955,0.930516747582683,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,15,0.011409990688165028,0.9959259259259259,0.4861174032006508,0.877962962962963,0.8805495919288244,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,16,0.006714876415441532,0.9979629629629629,1.0756949272694893,0.8337037037037037,0.864250295438573,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,17,0.009805623580580203,0.9969753086419753,0.21002070889243407,0.9446296296296296,0.915733917082209,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,18,0.009996143552858418,0.9964814814814815,0.5559488563717309,0.8681481481481481,0.8732786125090989,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,19,0.010704187972066539,0.9967283950617284,0.22992944866502107,0.9357407407407408,0.9005490905089328,0,0,0,0,0
MS_SPATIAL_DROP_BASELINE,0.0,20,0.012328396120038958,0.9960493827160494,0.9708113747139497,0.8642592592592593,0.8864271204971812,0,0,0,0,0
MS_SPATIAL_DROP_P01,0.1,1,0.4993450951493449,0.8496296296296296,0.15197263164100824,0.952962962962963,0.9302747280889708,14588,388,418,387,419
MS_SPATIAL_DROP_P01,0.1,2,0.11922732686003049,0.9630246913580247,0.15296409143048717,0.945925925925926,0.9128268165025961,14650,404,398,358,390
MS_SPATIAL_DROP_P01,0.1,3,0.06609317834592528,0.9791358024691358,0.14949940553262692,0.9516666666666667,0.9252138315738498,14550,406,428,396,420
MS_SPATIAL_DROP_P01,0.1,4,0.05036692030474912,0.9840123456790123,0.1488244946341082,0.9538888888888889,0.9290311758809502,14622,353,417,382,426
MS_SPATIAL_DROP_P01,0.1,5,0.04397606861616634,0.9866049382716049,0.20667242323255372,0.9318518518518518,0.9029195286803148,14576,417,397,387,423
MS_SPATIAL_DROP_P01,0.1,6,0.039175509778771225,0.9887037037037038,4.828752310859833,0.7898148148148149,0.8379803186557998,14580,390,403,392,435
MS_SPATIAL_DROP_P01,0.1,7,0.031468884250907984,0.989320987654321,0.2783666155014739,0.8977777777777778,0.8815899342063913,14564,417,391,431,397
MS_SPATIAL_DROP_P01,0.1,8,0.02558771063464429,0.9917283950617284,0.258433134266503,0.9088888888888889,0.901780198618454,14533,425,364,448,430
MS_SPATIAL_DROP_P01,0.1,9,0.02931072843991174,0.9911111111111112,0.1439077159778767,0.9553703703703704,0.93113969361287,14629,390,393,389,399
MS_SPATIAL_DROP_P01,0.1,10,0.021506697758744805,0.9935185185185185,0.13298141967632243,0.9629629629629629,0.9451688346033634,14558,376,435,431,400
MS_SPATIAL_DROP_P01,0.1,11,0.02495923337973597,0.9925308641975309,1.448074004195816,0.8531481481481481,0.8762152974460562,14528,408,407,441,416
MS_SPATIAL_DROP_P01,0.1,12,0.022818157066351066,0.9924691358024691,0.7299758033938404,0.8662962962962963,0.8918309865383665,14558,408,410,414,410
MS_SPATIAL_DROP_P01,0.1,13,0.01940081212251378,0.9946296296296296,8.92468486697965,0.7755555555555556,0.8241278462680093,14577,394,397,412,420
MS_SPATIAL_DROP_P01,0.1,14,0.0193909260664095,0.9940740740740741,0.1840940471956748,0.9498148148148148,0.9272308829588498,14507,433,427,419,414
MS_SPATIAL_DROP_P01,0.1,15,0.017642398491217237,0.9944444444444445,0.22886550698291372,0.9422222222222222,0.9191437408724417,14587,420,408,404,381
MS_SPATIAL_DROP_P01,0.1,16,0.015243973709286455,0.9953703703703703,0.13088191119055004,0.9644444444444444,0.9454068217184585,14667,392,418,386,337
MS_SPATIAL_DROP_P01,0.1,17,0.0151118839779771,0.995,0.1493995280729831,0.9548148148148148,0.9303668367868099,14497,425,422,439,417
MS_SPATIAL_DROP_P01,0.1,18,0.016702284030817496,0.9949382716049383,0.14755202997687134,0.9581481481481482,0.936872219733129,14610,376,398,423,393
MS_SPATIAL_DROP_P01,0.1,19,0.015259338283658396,0.9951234567901235,0.19712098051334678,0.9514814814814815,0.9274989892368548,14596,413,397,406,388
MS_SPATIAL_DROP_P01,0.1,20,0.01632709031457507,0.9953086419753087,0.20797114171189066,0.9412962962962963,0.9127699778973044,14521,412,422,429,416
MS_SPATIAL_DROP_P03,0.3,1,0.5250784323819809,0.840925925925926,0.1700961564094932,0.9461111111111111,0.9190799939928119,11319,1187,1246,1203,1245
MS_SPATIAL_DROP_P03,0.3,2,0.1363362270777608,0.9558641975308642,0.1546924121512307,0.9462962962962963,0.9202727734063675,11396,1158,1220,1181,1245
MS_SPATIAL_DROP_P03,0.3,3,0.07913562722504139,0.9739506172839506,0.2823846893647203,0.8877777777777778,0.8857011313418095,11379,1227,1214,1161,1219
MS_SPATIAL_DROP_P03,0.3,4,0.06549295335640141,0.9790123456790123,0.1427558048947335,0.9566666666666667,0.9338598648857882,11324,1177,1272,1211,1216
MS_SPATIAL_DROP_P03,0.3,5,0.048817798246250106,0.9832098765432099,0.14873053193566632,0.9522222222222222,0.9292708859887939,11276,1272,1211,1228,1213
MS_SPATIAL_DROP_P03,0.3,6,0.046480111469986075,0.9846913580246913,0.3391129157109255,0.8566666666666667,0.8630621085393921,11353,1215,1181,1185,1266
MS_SPATIAL_DROP_P03,0.3,7,0.03821643117470322,0.9876543209876543,0.3024225488844914,0.9101851851851852,0.9035782799182535,11263,1245,1250,1214,1228
MS_SPATIAL_DROP_P03,0.3,8,0.033823077486839465,0.9901234567901235,0.44767750692536573,0.855,0.868390325952331,11270,1205,1170,1314,1241
MS_SPATIAL_DROP_P03,0.3,9,0.02944029650191006,0.9909259259259259,0.18852064981056307,0.9422222222222222,0.9128914137527978,11439,1187,1246,1180,1148
MS_SPATIAL_DROP_P03,0.3,10,0.032011506237653024,0.9898765432098765,0.14023538275677883,0.9566666666666667,0.9305238696171557,11341,1191,1260,1205,1203
